oa11,Final_Rurality,FundingStreamEligibilty
E00000327,Urban,UCEF
E00000328,Urban,UCEF
E00000329,Urban,UCEF
E00000330,Urban,UCEF
E00000331,Urban,UCEF
E00000332,Urban,UCEF
E00000333,Urban,UCEF
E00000334,Urban,UCEF
E00000335,Urban,UCEF
E00000336,Urban,UCEF
E00000337,Urban,UCEF
E00000338,Urban,UCEF
E00000339,Urban,UCEF
E00000340,Urban,UCEF
E00000341,Urban,UCEF
E00000342,Urban,UCEF
E00000343,Urban,UCEF
E00000344,Urban,UCEF
E00000345,Urban,UCEF
E00000346,Urban,UCEF
E00000347,Urban,UCEF
E00000348,Urban,UCEF
E00000349,Urban,UCEF
E00000350,Urban,UCEF
E00000351,Urban,UCEF
E00000352,Urban,UCEF
E00000353,Urban,UCEF
E00000354,Urban,UCEF
E00000355,Urban,UCEF
E00000356,Urban,UCEF
E00000357,Urban,UCEF
E00000358,Urban,UCEF
E00000360,Urban,UCEF
E00000361,Urban,UCEF
E00000362,Urban,UCEF
E00000363,Urban,UCEF
E00000364,Urban,UCEF
E00000365,Urban,UCEF
E00000366,Urban,UCEF
E00000367,Urban,UCEF
E00000368,Urban,UCEF
E00000369,Urban,UCEF
E00000370,Urban,UCEF
E00000371,Urban,UCEF
E00000372,Urban,UCEF
E00000373,Urban,UCEF
E00000374,Urban,UCEF
E00000375,Urban,UCEF
E00000376,Urban,UCEF
E00000377,Urban,UCEF
E00000378,Urban,UCEF
E00000379,Urban,UCEF
E00000380,Urban,UCEF
E00000381,Urban,UCEF
E00000382,Urban,UCEF
E00000383,Urban,UCEF
E00000384,Urban,UCEF
E00000385,Urban,UCEF
E00000386,Urban,UCEF
E00000387,Urban,UCEF
E00000388,Urban,UCEF
E00000389,Urban,UCEF
E00000390,Urban,UCEF
E00000391,Urban,UCEF
E00000392,Urban,UCEF
E00000393,Urban,UCEF
E00000394,Urban,UCEF
E00000395,Urban,UCEF
E00000396,Urban,UCEF
E00000397,Urban,UCEF
E00000398,Urban,UCEF
E00000399,Urban,UCEF
E00000400,Urban,UCEF
E00000401,Urban,UCEF
E00000402,Urban,UCEF
E00000403,Urban,UCEF
E00000404,Urban,UCEF
E00000405,Urban,UCEF
E00000406,Urban,UCEF
E00000407,Urban,UCEF
E00000408,Urban,UCEF
E00000409,Urban,UCEF
E00000410,Urban,UCEF
E00000411,Urban,UCEF
E00000412,Urban,UCEF
E00000413,Urban,UCEF
E00000414,Urban,UCEF
E00000415,Urban,UCEF
E00000416,Urban,UCEF
E00000417,Urban,UCEF
E00000418,Urban,UCEF
E00000419,Urban,UCEF
E00000420,Urban,UCEF
E00000421,Urban,UCEF
E00000422,Urban,UCEF
E00000423,Urban,UCEF
E00000424,Urban,UCEF
E00000425,Urban,UCEF
E00000426,Urban,UCEF
E00000427,Urban,UCEF
E00000428,Urban,UCEF
E00000429,Urban,UCEF
E00000430,Urban,UCEF
E00000431,Urban,UCEF
E00000432,Urban,UCEF
E00000433,Urban,UCEF
E00000434,Urban,UCEF
E00000435,Urban,UCEF
E00000436,Urban,UCEF
E00000437,Urban,UCEF
E00000438,Urban,UCEF
E00000439,Urban,UCEF
E00000440,Urban,UCEF
E00000441,Urban,UCEF
E00000442,Urban,UCEF
E00000443,Urban,UCEF
E00000444,Urban,UCEF
E00000445,Urban,UCEF
E00000446,Urban,UCEF
E00000447,Urban,UCEF
E00000448,Urban,UCEF
E00000449,Urban,UCEF
E00000450,Urban,UCEF
E00000451,Urban,UCEF
E00000452,Urban,UCEF
E00000453,Urban,UCEF
E00000454,Urban,UCEF
E00000455,Urban,UCEF
E00000456,Urban,UCEF
E00000457,Urban,UCEF
E00000458,Urban,UCEF
E00000461,Urban,UCEF
E00000462,Urban,UCEF
E00000463,Urban,UCEF
E00000464,Urban,UCEF
E00000465,Urban,UCEF
E00000466,Urban,UCEF
E00000467,Urban,UCEF
E00000468,Urban,UCEF
E00000469,Urban,UCEF
E00000470,Urban,UCEF
E00000471,Urban,UCEF
E00000472,Urban,UCEF
E00000474,Urban,UCEF
E00000475,Urban,UCEF
E00000476,Urban,UCEF
E00000477,Urban,UCEF
E00000478,Urban,UCEF
E00000479,Urban,UCEF
E00000480,Urban,UCEF
E00000481,Urban,UCEF
E00000482,Urban,UCEF
E00000483,Urban,UCEF
E00000484,Urban,UCEF
E00000485,Urban,UCEF
E00000486,Urban,UCEF
E00000487,Urban,UCEF
E00000488,Urban,UCEF
E00000489,Urban,UCEF
E00000490,Urban,UCEF
E00000491,Urban,UCEF
E00000492,Urban,UCEF
E00000493,Urban,UCEF
E00000494,Urban,UCEF
E00000495,Urban,UCEF
E00000496,Urban,UCEF
E00000497,Urban,UCEF
E00000498,Urban,UCEF
E00000499,Urban,UCEF
E00000500,Urban,UCEF
E00000501,Urban,UCEF
E00000502,Urban,UCEF
E00000503,Urban,UCEF
E00000504,Urban,UCEF
E00000505,Urban,UCEF
E00000506,Urban,UCEF
E00000507,Urban,UCEF
E00000508,Urban,UCEF
E00000509,Urban,UCEF
E00000510,Urban,UCEF
E00000511,Urban,UCEF
E00000512,Urban,UCEF
E00000513,Urban,UCEF
E00000514,Urban,UCEF
E00000515,Urban,UCEF
E00000516,Urban,UCEF
E00000517,Urban,UCEF
E00000518,Urban,UCEF
E00000519,Urban,UCEF
E00000520,Urban,UCEF
E00000521,Urban,UCEF
E00000522,Urban,UCEF
E00000523,Urban,UCEF
E00000524,Urban,UCEF
E00000525,Urban,UCEF
E00000526,Urban,UCEF
E00000527,Urban,UCEF
E00000528,Urban,UCEF
E00000529,Urban,UCEF
E00000530,Urban,UCEF
E00000531,Urban,UCEF
E00000532,Urban,UCEF
E00000533,Urban,UCEF
E00000534,Urban,UCEF
E00000535,Urban,UCEF
E00000536,Urban,UCEF
E00000537,Urban,UCEF
E00000538,Urban,UCEF
E00000539,Urban,UCEF
E00000540,Urban,UCEF
E00000541,Urban,UCEF
E00000542,Urban,UCEF
E00000543,Urban,UCEF
E00000544,Urban,UCEF
E00000545,Urban,UCEF
E00000546,Urban,UCEF
E00000547,Urban,UCEF
E00000548,Urban,UCEF
E00000549,Urban,UCEF
E00000550,Urban,UCEF
E00000551,Urban,UCEF
E00000552,Urban,UCEF
E00000553,Urban,UCEF
E00000554,Urban,UCEF
E00000555,Urban,UCEF
E00000556,Urban,UCEF
E00000557,Urban,UCEF
E00000558,Urban,UCEF
E00000559,Urban,UCEF
E00000560,Urban,UCEF
E00000561,Urban,UCEF
E00000562,Urban,UCEF
E00000563,Urban,UCEF
E00000564,Urban,UCEF
E00000565,Urban,UCEF
E00000566,Urban,UCEF
E00000567,Urban,UCEF
E00000568,Urban,UCEF
E00000569,Urban,UCEF
E00000570,Urban,UCEF
E00000571,Urban,UCEF
E00000572,Urban,UCEF
E00000573,Urban,UCEF
E00000574,Urban,UCEF
E00000575,Urban,UCEF
E00000576,Urban,UCEF
E00000577,Urban,UCEF
E00000578,Urban,UCEF
E00000579,Urban,UCEF
E00000580,Urban,UCEF
E00000581,Urban,UCEF
E00000582,Urban,UCEF
E00000583,Urban,UCEF
E00000584,Urban,UCEF
E00000585,Urban,UCEF
E00000586,Urban,UCEF
E00000587,Urban,UCEF
E00000588,Urban,UCEF
E00000589,Urban,UCEF
E00000590,Urban,UCEF
